filename,width,height,class,xmin,ymin,xmax,ymax
_AL522H01D-K11__default__10.jpg,480,692,NASA,238,224,321,307
8609776787_9eb87903fe_b.jpg,1024,554,NASA,715,124,812,208
nasa-project-930x300.jpg,930,300,NASA,299,1,378,85
alp012.jpg,608,608,NASA,196,113,246,160
alp012.jpg,608,608,NASA,505,353,554,390
gettyimages-517862941.jpg,738,491,NASA,238,79,548,378
7198838-1-greymarl.jpeg,513,655,NASA,157,148,353,310
nasa-sweatshirt.jpg,470,470,NASA,267,135,329,190
nasa-globe-of-course.jpg,550,413,NASA,200,39,403,232
Nasa-Logo-Sweatshirt.jpg,500,500,NASA,156,130,352,299
DL8s3LTVAAA8P8V.jpg,640,360,NASA,157,32,456,319
1509464336881.jpg,931,524,NASA,297,5,628,290
main-qimg-9a192d4a868752b7cf660c3706deef2e.png,602,911,NASA,129,271,172,311
071236e60351497a88676f268f435225--nasa-space-center-about-space.jpg,736,552,NASA,343,75,476,186
retro-cardinal-red_bd9dacac-f8be-40d8-a29b-6fbe23a04e89_grande.jpg,600,600,NASA,194,169,404,348
"concorde-story,-facebook-647_070516023812.jpg",647,404,NASA,105,200,133,226
NASA-Wallops.jpg,1024,264,NASA,601,119,713,209
23-08-2017_alphaindustries_ma-1vfnasajacket_black_166107-03_cw_1.jpg,760,760,NASA,427,200,536,303
JSC-Entrance-port.jpg,800,500,NASA,222,220,289,280
DSC_1681-500x358.jpg,500,358,NASA,289,74,364,136
4066123110_d540a95002_z.jpg,500,333,NASA,236,52,288,121
shuttle-astronaut_1941635a.jpg,620,388,NASA,106,1,242,100
shuttle-astronaut_1941635a.jpg,620,388,NASA,151,175,164,189
shuttle-astronaut_1941635a.jpg,620,388,NASA,280,182,291,194
shuttle-astronaut_1941635a.jpg,620,388,NASA,371,168,382,180
shuttle-astronaut_1941635a.jpg,620,388,NASA,500,163,513,178
dr-julie-keeble-poses-near-the-vab-at-the-kennedy-space-centre-while-g28ahg.jpg,393,320,NASA,260,63,301,98
nasa.jpg,785,623,NASA,534,142,669,261
nasa.jpg,785,623,NASA,414,387,480,514
Customer-Detail-Hero-NASA-400x355_245502110915293732.jpg,400,355,NASA,6,16,400,330
file.jpg,498,635,NASA,145,87,260,175
nasa-logos-01.jpg,500,411,NASA,377,132,450,206
Kennedy-Space-Center-KSC-Vehicle-Assembly-Building-VAB-Space-Launch-System-SLS-NASA-image-posted-on-SpaceFlight-Insider-647x514.jpg,647,514,NASA,168,121,208,164
nasa-t-shirt-men-fashion-summer-100-cotton.jpg,750,750,NASA,425,237,515,315
aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA2OS85MzAvb3JpZ2luYWwva3NjLWRhbWFnZS0wMDMuanBn.jpeg,660,440,NASA,395,93,439,148
IMG_1577.jpg,800,533,NASA,359,145,463,241
sz_292099_b.jpeg,600,674,NASA,203,294,394,421
Project_NASA-HQ_Banner_001.jpg,1680,850,NASA,393,593,1193,826
cape-canaveral.jpg,550,412,NASA,55,63,205,209
nssc_500x300.png,500,300,NASA,363,269,382,288
nssc_500x300.png,500,300,NASA,237,32,281,70
nasa-center-777d822c68032fb96aabe701c4625cce.jpg,800,600,NASA,341,165,434,254
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,123,51,143,72
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,123,197,143,218
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,247,179,398,308
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,119,344,143,363
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,119,481,146,504
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,501,340,561,387
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,506,200,563,244
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,498,40,556,87
5a16d85264621a493aebe5f1-large.jpg,600,600,NASA,507,481,568,531
60879718_l.jpg,720,720,NASA,415,140,517,221
MD-3301_20140814183853_bce2301ee17ecb15.jpg,955,637,NASA,375,184,581,354
Building_Nasa_1200-1024x745-1024x745-474x320.jpg,474,320,NASA,256,55,311,114
womens-retro-grey_grande.jpg,600,600,NASA,204,200,406,400
mmi1151.jpg,500,424,NASA,1,1,499,423
YOUTUBE_HQ_GoddardSceneSetters_youtube_hq_print.jpg,1024,576,NASA,343,198,448,290
Kennedy-Space-Center-s.jpg,600,454,NASA,306,139,352,177
00cd3d46a0b0a99471d35b64f82f7057.jpg,400,500,NASA,233,135,297,196
8488945-1-repblue.jpeg,513,655,NASA,274,211,347,277
banner-meatball.png,670,654,NASA,120,113,575,487
170805052028-nasa-logo-exlarge-169.jpg,780,438,NASA,494,25,766,382
10florida19.JPG,900,513,NASA,584,172,627,233
Untitled-15.jpg,0,0,NASA,153,98,286,227
aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzAxOC8zNjQvb3JpZ2luYWwvc2xzLXJvY2tldC1hcnQuanBn.jpeg,660,448,NASA,507,140,518,153
aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzAxOC8zNjQvb3JpZ2luYWwvc2xzLXJvY2tldC1hcnQuanBn.jpeg,660,448,NASA,450,153,474,178
Nasa Sweater 1.jpg,600,600,NASA,91,239,306,430
IMG_3549a_Orion_Ken-Kremer-580x386.jpg,580,386,NASA,208,234,239,271
IMG_3549a_Orion_Ken-Kremer-580x386.jpg,580,386,NASA,201,275,230,296
c805347e-1325-42a0-8389-202e72f103ee.JPG,400,300,NASA,60,231,86,250
c805347e-1325-42a0-8389-202e72f103ee.JPG,400,300,NASA,260,58,310,112
official-nasa-logo.jpg,550,366,NASA,39,34,440,362
5477438547_59af269943_b.jpg,1024,683,NASA,573,222,744,408
7682d5834ca5febe0edcadb1b2699dbd.jpg,334,454,NASA,185,114,238,158
inside-out-mug-i-need-my-space-2.png,429,286,NASA,137,162,227,234
nasa-meatball-logo-white-mug-5.png,429,366,NASA,65,103,257,290
